timestamp,name,family,age,grade
2020-02-06T10:23:34.000000000+00:00,YbKT,fqt5jFBE,93,11.072367
2020-02-06T10:33:34.000000000+00:00,cnfu,5YzmbdeT,21,17.600773
2020-02-06T10:43:34.000000000+00:00,t4iB,1qK4yEhI,68,19.968054
2020-02-06T10:53:34.000000000+00:00,rsu2,9DKDazyH,98,7.5034666
2020-02-06T11:03:34.000000000+00:00,sEUR,zG7N0iQe,40,19.233912
2020-02-06T11:13:34.000000000+00:00,U5zp,ndfyNQHV,16,8.309929
2020-02-06T11:23:34.000000000+00:00,Ot06,H8gjCRX6,87,14.991276
2020-02-06T11:33:34.000000000+00:00,UVqj,c2MVXZ7H,90,18.987812
2020-02-06T11:43:34.000000000+00:00,p1Jo,EOE7GXHg,13,9.33214
2020-02-06T11:53:34.000000000+00:00,hDcv,kogULtN3,29,11.096807
2020-02-06T12:03:34.000000000+00:00,cVNb,hw76nq6J,23,11.29427
2020-02-06T12:13:34.000000000+00:00,hGq8,oQ101zeV,22,6.3741302
2020-02-06T12:23:34.000000000+00:00,EBfv,MvDjLf49,70,4.9127316
2020-02-06T12:33:34.000000000+00:00,nXsa,9m2ebHHH,78,16.018875
2020-02-06T12:43:34.000000000+00:00,Rgko,NB93wM91,59,8.21877
2020-02-06T12:53:34.000000000+00:00,ZM4Z,LPsBMDFL,46,18.275225
2020-02-06T13:03:34.000000000+00:00,fXtL,NKy64YXL,9,9.751596
2020-02-06T13:13:34.000000000+00:00,LP3R,Kg2CE6iD,46,15.685124
2020-02-06T13:23:34.000000000+00:00,h5t6,e4UPgP6G,25,15.82
2020-02-06T13:33:34.000000000+00:00,A0JQ,rHLgL9YH,80,2.6634169
2020-02-06T13:43:34.000000000+00:00,Ni2U,lEfFk8JV,16,1.4438462
2020-02-06T13:53:34.000000000+00:00,f3Zm,1ixbp3d0,28,6.196754
2020-02-06T14:03:34.000000000+00:00,HJYS,EmVOY2R1,43,11.623819
2020-02-06T14:13:34.000000000+00:00,mkyK,ChZv9VFr,73,2.4478626
2020-02-06T14:23:34.000000000+00:00,kCD1,g0TUtHyE,43,13.01929
2020-02-06T14:33:34.000000000+00:00,ifXD,FNeIr56S,37,13.342506
2020-02-06T14:43:34.000000000+00:00,hflw,zhK807bS,89,8.757434
2020-02-06T14:53:34.000000000+00:00,jmvl,WtlpbhOw,46,9.275694
2020-02-06T15:03:34.000000000+00:00,i9J3,Lsn6rA5x,71,16.332527
2020-02-06T15:13:34.000000000+00:00,ETdQ,t8ektEky,90,9.329397
2020-02-06T15:23:34.000000000+00:00,SkZP,bqkf9elF,63,12.0625305
2020-02-06T15:33:34.000000000+00:00,6m6T,AnbWfAnU,39,3.0782866
2020-02-06T15:43:34.000000000+00:00,rS9a,5Fc0LtPy,51,10.390949
2020-02-06T15:53:34.000000000+00:00,U8wg,aJCHgCwJ,1,5.0268054
2020-02-06T16:03:34.000000000+00:00,ncKS,d3USEpzB,8,0.17220974
2020-02-06T16:13:34.000000000+00:00,YWWn,ZivxUI0H,69,15.828287
2020-02-06T16:23:34.000000000+00:00,PXIu,kR0zd7kj,79,15.579622
2020-02-06T16:33:34.000000000+00:00,JLyD,m2ANiGOW,69,6.6705704
2020-02-06T16:43:34.000000000+00:00,pjzm,PFdTbSk3,12,6.825087
2020-02-06T16:53:34.000000000+00:00,yUaB,NABqkgOm,34,16.980822
2020-02-06T17:03:34.000000000+00:00,ZZjw,D15UelfB,50,18.841099
2020-02-06T17:13:34.000000000+00:00,bJRp,NjXneYlf,9,19.477728
2020-02-06T17:23:34.000000000+00:00,hbDy,zh5c3dSQ,10,19.399673
2020-02-06T17:33:34.000000000+00:00,KZU8,yBQhTd0g,17,12.238507
2020-02-06T17:43:34.000000000+00:00,a3rO,VIXseDGG,4,18.537437
2020-02-06T17:53:34.000000000+00:00,UyTd,bGiX2Gby,64,0.8590913
2020-02-06T18:03:34.000000000+00:00,hrQQ,k0pGyg2f,42,14.071794
2020-02-06T18:13:34.000000000+00:00,Gbcp,U2BTSaq7,14,4.424927
2020-02-06T18:23:34.000000000+00:00,6RPE,JRZXALo0,43,16.57611
2020-02-06T18:33:34.000000000+00:00,JNaw,bLeAhOil,56,2.1713161
